instance_id,resolved_by,alternative_spans
psf__requests-863,6,4
psf__requests-1963,1,0
psf__requests-2148,0,0
psf__requests-2317,5,5
psf__requests-2674,5,3
psf__requests-3362,5,0
sympy__sympy-11400,0,0
sympy__sympy-11870,0,0
sympy__sympy-11897,0,0
sympy__sympy-12171,0,0
sympy__sympy-12236,0,0
sympy__sympy-12419,0,0
sympy__sympy-12454,0,0
sympy__sympy-12481,2,0
sympy__sympy-13031,2,0
sympy__sympy-13043,0,0
sympy__sympy-13146,0,0
sympy__sympy-13177,0,0
sympy__sympy-13437,0,0
sympy__sympy-13471,3,0
sympy__sympy-13480,9,0
sympy__sympy-13647,8,0
astropy__astropy-6938,1,0
scikit-learn__scikit-learn-10297,7,7
sympy__sympy-13773,0,0
sympy__sympy-13895,0,0
sympy__sympy-13915,0,0
scikit-learn__scikit-learn-10508,0,0
sympy__sympy-13971,4,4
sympy__sympy-14024,0,0
sympy__sympy-14308,0,0
sympy__sympy-14317,0,0
sympy__sympy-14396,1,1
scikit-learn__scikit-learn-10949,0,0
scikit-learn__scikit-learn-11040,0,0
sympy__sympy-14774,10,0
scikit-learn__scikit-learn-11281,4,2
sympy__sympy-14817,2,0
sympy__sympy-15011,2,0
astropy__astropy-7746,0,0
sympy__sympy-15308,0,0
sympy__sympy-15345,1,1
sympy__sympy-15346,0,0
scikit-learn__scikit-learn-12471,2,0
sympy__sympy-15609,2,0
sympy__sympy-15678,2,0
django__django-10914,6,0
django__django-10924,1,0
scikit-learn__scikit-learn-13142,2,0
django__django-11001,3,3
django__django-11019,0,0
scikit-learn__scikit-learn-13241,6,6
sympy__sympy-16106,0,0
django__django-11039,7,0
django__django-11049,5,0
scikit-learn__scikit-learn-13439,7,6
sympy__sympy-16281,0,0
django__django-11099,9,0
scikit-learn__scikit-learn-13496,6,0
scikit-learn__scikit-learn-13497,0,0
django__django-11133,9,6
sympy__sympy-16503,0,0
django__django-11179,7,0
scikit-learn__scikit-learn-13584,5,0
pytest-dev__pytest-5103,0,0
django__django-11283,0,0
scikit-learn__scikit-learn-13779,6,0
pytest-dev__pytest-5221,0,0
pytest-dev__pytest-5227,10,0
sympy__sympy-16792,0,0
django__django-11422,1,1
pytest-dev__pytest-5413,0,0
sympy__sympy-16988,3,0
sympy__sympy-17022,1,1
scikit-learn__scikit-learn-14087,0,0
scikit-learn__scikit-learn-14092,0,0
pytest-dev__pytest-5495,0,0
sympy__sympy-17139,2,0
django__django-11564,0,0
django__django-11583,4,0
django__django-11620,1,0
pytest-dev__pytest-5692,6,5
django__django-11630,0,0
django__django-11742,0,0
scikit-learn__scikit-learn-14894,8,0
scikit-learn__scikit-learn-14983,0,0
sympy__sympy-17630,0,0
django__django-11797,0,0
django__django-11815,3,1
sympy__sympy-17655,3,2
django__django-11848,1,0
pydata__xarray-3364,0,0
django__django-11905,0,0
django__django-11910,0,0
django__django-11964,1,0
django__django-11999,3,0
pytest-dev__pytest-6116,0,0
scikit-learn__scikit-learn-15512,0,0
scikit-learn__scikit-learn-15535,5,0
django__django-12113,0,0
django__django-12125,2,0
django__django-12184,0,0
sympy__sympy-18057,3,0
sympy__sympy-18087,0,0
sympy__sympy-18189,1,0
sympy__sympy-18199,0,0
django__django-12284,1,0
django__django-12286,9,8
django__django-12308,0,0
sympy__sympy-18532,2,0
sympy__sympy-18621,4,3
django__django-12453,8,0
django__django-12470,0,0
sympy__sympy-18698,0,0
django__django-12497,2,0
sympy__sympy-18835,0,0
django__django-12589,0,0
sympy__sympy-19007,0,0
django__django-12700,4,0
django__django-12708,4,4
django__django-12747,1,0
sympy__sympy-19254,0,0
django__django-12856,0,0
pytest-dev__pytest-7168,0,0
django__django-12908,0,0
django__django-12915,3,2
pytest-dev__pytest-7220,0,0
sphinx-doc__sphinx-7686,0,0
pydata__xarray-4094,0,0
django__django-12983,6,0
sphinx-doc__sphinx-7738,0,0
sympy__sympy-19487,0,0
django__django-13028,2,0
django__django-13033,0,0
pytest-dev__pytest-7373,8,7
pytest-dev__pytest-7432,2,0
django__django-13158,2,0
pytest-dev__pytest-7490,1,1
sphinx-doc__sphinx-7975,2,0
django__django-13220,0,0
pydata__xarray-4248,0,0
django__django-13230,8,2
django__django-13265,0,0
django__django-13315,4,1
django__django-13321,0,0
sympy__sympy-20049,0,0
django__django-13401,3,0
django__django-13447,4,0
django__django-13448,0,0
sympy__sympy-20154,3,0
sphinx-doc__sphinx-8273,0,0
sphinx-doc__sphinx-8282,0,0
sympy__sympy-20212,6,0
pydata__xarray-4493,0,0
django__django-13551,1,0
sympy__sympy-20322,0,0
django__django-13590,6,0
matplotlib__matplotlib-18869,0,0
django__django-13658,8,0
django__django-13660,0,0
sphinx-doc__sphinx-8435,1,0
sympy__sympy-20442,0,0
sphinx-doc__sphinx-8474,0,0
django__django-13710,7,0
sphinx-doc__sphinx-8506,0,0
django__django-13757,1,0
django__django-13768,1,0
sympy__sympy-20590,0,0
sympy__sympy-20639,0,0
sphinx-doc__sphinx-8595,2,1
sphinx-doc__sphinx-8627,0,0
sphinx-doc__sphinx-8713,9,0
django__django-13925,2,0
sphinx-doc__sphinx-8721,3,1
django__django-13933,5,0
sphinx-doc__sphinx-8801,0,0
django__django-13964,2,0
django__django-14016,3,3
django__django-14017,1,0
pytest-dev__pytest-8365,0,0
sympy__sympy-21055,3,0
django__django-14155,0,0
sympy__sympy-21171,0,0
pydata__xarray-5131,7,0
django__django-14238,5,1
sympy__sympy-21379,0,0
django__django-14382,10,0
pallets__flask-4045,0,0
django__django-14411,1,0
sympy__sympy-21612,0,0
sympy__sympy-21614,2,1
sympy__sympy-21627,0,0
django__django-14534,0,0
django__django-14580,2,0
django__django-14608,4,2
pytest-dev__pytest-8906,0,0
django__django-14667,0,0
django__django-14672,5,0
django__django-14730,0,0
django__django-14752,10,0
sympy__sympy-21847,4,0
django__django-14787,5,0
sympy__sympy-22005,0,0
django__django-14855,9,0
django__django-14915,8,7
django__django-14997,0,0
django__django-14999,6,0
django__django-15061,0,0
pytest-dev__pytest-9359,0,0
django__django-15202,0,0
django__django-15213,3,0
sympy__sympy-22714,5,0
django__django-15252,0,0
sympy__sympy-22840,0,0
django__django-15320,0,0
django__django-15347,6,0
django__django-15388,0,0
django__django-15400,2,0
sympy__sympy-23117,4,4
sympy__sympy-23191,0,0
astropy__astropy-12907,2,0
pylint-dev__pylint-5859,3,0
django__django-15498,4,0
sympy__sympy-23262,5,3
matplotlib__matplotlib-22711,0,0
sphinx-doc__sphinx-10325,2,0
matplotlib__matplotlib-22835,0,0
pylint-dev__pylint-6506,0,0
sphinx-doc__sphinx-10451,0,0
django__django-15695,0,0
django__django-15738,0,0
mwaskom__seaborn-2848,0,0
matplotlib__matplotlib-23299,0,0
django__django-15781,0,0
matplotlib__matplotlib-23314,2,0
django__django-15789,6,0
django__django-15790,1,0
pylint-dev__pylint-7080,0,0
pylint-dev__pylint-7114,1,0
django__django-15814,6,0
django__django-15819,0,0
django__django-15851,7,0
matplotlib__matplotlib-23476,0,0
pylint-dev__pylint-7228,0,0
django__django-15902,0,0
matplotlib__matplotlib-23562,1,0
matplotlib__matplotlib-23563,0,0
django__django-15996,0,0
django__django-16041,7,3
django__django-16046,8,0
mwaskom__seaborn-3010,9,9
matplotlib__matplotlib-23913,3,3
sympy__sympy-24066,1,0
matplotlib__matplotlib-23964,10,0
matplotlib__matplotlib-23987,0,0
django__django-16139,10,0
sympy__sympy-24102,0,0
matplotlib__matplotlib-24149,4,0
sympy__sympy-24152,10,0
matplotlib__matplotlib-24265,0,0
django__django-16229,0,0
matplotlib__matplotlib-24334,1,1
sympy__sympy-24213,7,0
django__django-16255,9,0
django__django-16379,10,0
astropy__astropy-14182,0,0
mwaskom__seaborn-3190,4,1
django__django-16400,0,0
pylint-dev__pylint-7993,1,0
django__django-16408,0,0
matplotlib__matplotlib-24970,1,0
matplotlib__matplotlib-25079,0,0
scikit-learn__scikit-learn-25500,0,0
django__django-16527,10,0
astropy__astropy-14365,0,0
scikit-learn__scikit-learn-25570,6,1
scikit-learn__scikit-learn-25638,0,0
pallets__flask-4992,0,0
matplotlib__matplotlib-25311,1,1
django__django-16595,7,1
matplotlib__matplotlib-25332,0,0
scikit-learn__scikit-learn-25747,0,0
matplotlib__matplotlib-25433,0,0
matplotlib__matplotlib-25442,1,1
sympy__sympy-24909,0,0
matplotlib__matplotlib-25498,0,0
pallets__flask-5063,0,0
django__django-16816,0,0
django__django-16820,0,0
django__django-16873,8,0
sphinx-doc__sphinx-11445,0,0
matplotlib__matplotlib-26011,3,0
matplotlib__matplotlib-26020,5,5
django__django-16910,0,0
pytest-dev__pytest-11143,8,0
astropy__astropy-14995,7,1
mwaskom__seaborn-3407,0,0
pytest-dev__pytest-11148,1,0
django__django-17051,2,0
django__django-17087,1,0
