instance_id;duration;total_cost;resolved_by;transitions;identifieed;expected_identified;alt_identified;identified;file_identified;found_in_search;tokens;expanded_imports;expanded_related;expanded_small_classes;expanded_tokens;iterations
astropy__astropy-14995;13,01027536392212;0,04413;7;5;;2,0;2,0;2,0;2,0;2,0;5567;True;True;True;5671;2
django__django-10914;9,186359405517578;0,017920000000000002;6;3;;1,0;;1,0;1,0;1,0;545;True;True;True;795;1
django__django-11039;13,62908411026001;0,03554500000000001;7;5;;2,0;;2,0;1,0;2,0;308;True;True;True;353;2
django__django-11099;5,590662479400635;0,022500000000000003;9;5;;2,0;;2,0;1,0;2,0;126;True;True;True;151;2
django__django-11133;10,212629079818726;0,017215;9;3;;;1,0;1,0;1,0;1,0;117;True;True;True;289;1
django__django-11179;15,594272136688232;0,041265;7;5;;1,0;;1,0;1,0;1,0;580;True;True;True;1777;2
django__django-12286;6,647005558013916;0,021470000000000003;9;3;;;1,0;1,0;1,0;1,0;202;True;True;True;225;1
django__django-12453;3,8257930278778076;0,015525;8;3;;1,0;;1,0;1,0;1,0;158;True;True;True;256;1
django__django-12983;4,56335186958313;0,018090000000000002;6;3;;1,0;;1,0;1,0;1,0;144;True;True;True;215;1
django__django-13230;22,33252239227295;0,08301000000000001;8;9;;3,0;;3,0;2,0;3,0;1183;True;True;True;1485;4
django__django-13590;11,763203144073486;0,024095000000000002;6;3;;1,0;;1,0;1,0;1,0;110;True;True;True;1058;1
django__django-13658;11,586059808731079;0,052680000000000005;8;5;;1,0;;1,0;1,0;1,0;720;True;True;True;855;2
django__django-13710;5,136682748794556;0,019905000000000003;7;3;;1,0;;1,0;1,0;1,0;207;True;True;True;733;1
django__django-14382;4,919114351272583;0,0198;10;3;;1,0;;1,0;1,0;1,0;949;True;True;True;1194;1
django__django-14752;4,302760362625122;0,016025;10;3;;1,0;;1,0;1,0;1,0;181;True;True;True;213;1
django__django-14855;2,9968669414520264;0,011555;9;3;;1,0;;1,0;1,0;1,0;87;True;True;True;497;1
django__django-14915;13,289915800094604;0,018905;8;3;;1,0;1,0;1,0;1,0;1,0;61;True;True;True;174;1
django__django-14999;11,084033966064453;0,04199;6;5;;1,0;;1,0;1,0;1,0;629;True;True;True;725;2
django__django-15347;4,151197910308838;0,012210000000000002;6;3;;1,0;;1,0;1,0;1,0;115;True;True;True;159;1
django__django-15789;7,333561182022095;0,03006;6;5;;1,0;;1,0;1,0;1,0;143;True;True;True;385;2
django__django-15814;13,649718284606934;0,048615000000000005;6;5;;2,0;;2,0;1,0;2,0;844;True;True;True;1838;2
django__django-15851;5,780972957611084;0,021225000000000004;7;3;;;;;;;163;False;False;False;223;1
